NUMERO_CLIENTE,Recency,Frequency,Monetary
16192,68,2,246.9
16205,39,2,154.46
16226,30,1,70.27
16231,39,3,300.47
16304,60,1,150
16388,47,1,52.7
16389,31,7,103.41
16401,65,1,46.57
16432,38,1,109.9
16443,31,2,312.5
16481,31,4,741.92
16511,79,1,83.24
16515,35,1,17.9
16517,44,2,319.9
16536,37,2,101.9
16588,30,1,294.89
16595,39,5,1555.00
16615,31,11,694.82
16619,41,2,1275.86
16635,81,2,338.4
16660,32,3,335.97
16717,55,3,693.09
16727,86,1,121
16730,31,2,235.93
16734,79,1,119.9
16741,35,1,99
16794,31,19,3502.84
16854,33,1,105.75
16868,37,2,108.69
16871,30,12,1373.00
16894,37,7,13741.65
16899,32,5,5372.92
16951,32,3,2471.34
16967,40,2,241.01
16990,51,1,18.49
17035,32,2,2919.40
17286,40,4,8781.16
17290,59,3,3630.40
17291,41,4,2506.68
17298,35,1,211.5
17305,30,2,153.49
17310,33,5,2333.87
17311,79,1,670
17317,74,1,38.59
17347,31,2,197.8
17348,76,1,2390.00
17378,37,3,127.22
17403,31,1,66
17410,35,4,2353.15
17421,61,2,522.75
17433,53,1,724.31
17448,58,2,83.66
17463,46,3,693.49
17475,69,1,69.9
17497,70,1,229.9
17506,63,4,104.74
17524,72,1,1030.00
17560,49,1,194.9
17567,34,9,17359.10
17622,33,16,94255.44
17628,41,1,589.9
17636,34,1,35.25
17639,75,1,49.74
17643,31,2,542.75
17647,76,1,104.07
17651,35,1,152.75
17653,32,4,5710.39
17664,32,1,235
17667,32,5,510.93
17674,90,1,179.9
17684,39,6,1005.91
17693,34,14,9445.71
17696,41,2,2605.00
17707,41,1,287.9
17713,69,1,162.9
17767,69,1,466
17796,51,1,131.43
17822,69,2,236.64
17834,40,1,539.97
17841,35,4,1251.71
17862,68,1,321.2
17888,41,12,26589.41
17905,30,1,109.97
17906,46,1,173.94
17915,80,1,240
17984,56,1,3602.00
17985,30,1,219.8
17992,39,8,1855.52
17997,72,1,294.4
17998,33,5,720.14
18015,34,5,909.12
18077,72,1,296.59
18090,73,1,132.3
18096,32,10,5471.67
18098,40,4,899.02
18101,69,1,533.98
18106,84,1,33.9
18123,49,3,73.48
18146,54,3,377.53
18147,32,11,9992.00
18158,48,2,141.88
18163,80,1,379.9
18171,33,1,154
18185,53,2,79.72
18190,82,1,29.99
18231,53,2,335.69
18244,82,1,212.68
18252,30,1,35.25
18289,30,91,3623.92
18308,31,5,240.8
18321,74,1,3232.00
18338,35,2,149.89
18360,31,2,451.45
18389,61,2,249.8
18398,41,1,591.9
18434,44,2,1888.12
18435,38,1,49.8
18442,45,8,646.92
18444,76,1,1327.40
18446,30,13,2264.82
18457,34,3,205.15
18494,34,2,327.45
18527,53,3,2481.35
18564,30,3,419.59
18570,40,10,1574.97
18571,63,1,316.9
18574,31,19,3029.74
18602,30,10,1344.39
18604,48,2,141.11
18607,40,5,13964.34
18632,77,1,16.39
18637,32,4,1385.24
18645,46,1,5387.16
18682,54,3,3968.20
18722,86,2,70
18730,37,3,502.19
18731,39,5,4570.47
18740,79,1,286.75
18760,60,1,105
18777,31,2,663.75
18809,34,3,50.28
18816,35,3,1587.70
18820,31,1,105.75
18823,61,1,91.57
18830,33,2,295.48
18833,31,1,12.9
18845,32,13,26784.72
18852,37,2,631.01
18857,51,1,43.6
18877,83,2,289.52
18880,90,1,36.9
18914,47,3,1313.61
18916,34,1,2445.15
18937,41,6,280.3
18945,48,2,109.9
18968,30,13,2352.75
18974,49,1,95.19
18975,81,1,155.7
18992,40,1,105.52
19012,83,1,110
19026,41,9,1016.03
19047,83,1,148.42
19082,30,1,1631.47
19084,37,8,2721.15
19104,30,1,305.5
19123,38,3,617.2
19130,38,1,133.98
19178,63,1,199.9
19197,73,1,84.33
19222,53,2,545.78
19242,83,1,202
19266,37,2,114.75
19283,30,1,41.67
19313,77,1,149.99
19321,76,1,49.9
19354,65,1,84.9
19358,38,1,180.99
19365,31,1,70.5
19372,41,1,70.5
19377,37,2,187.89
19380,53,1,169.9
19383,39,1,105.75
19457,44,2,132.09
19491,30,9,919.29
19494,41,3,1144.06
19546,37,2,369.6
19599,38,1,348.26
19601,45,4,306.4
19627,80,1,384.25
19652,77,3,222.22
19658,34,6,4717.78
19717,58,4,412.73
19721,33,1,70.5
19722,31,1,1338.50
19750,33,2,160.32
19756,40,2,96.49
19758,45,3,478.15
19790,34,1,106.9
19796,44,5,1010.62
19809,35,12,5414.09
19812,31,1,105.75
19822,37,4,331.89
19862,38,1,676.5
19890,30,2,1019.70
19893,40,1,88.68
19895,56,2,264.28
19903,46,5,4668.38
19908,41,2,1003.96
19912,55,1,331.8
19977,90,1,360
20075,33,1,35.25
20078,75,1,54.9
20081,74,1,86.31
20097,34,2,101.99
20098,32,4,397.71
20103,84,2,443.05
20116,34,3,86.26
20133,32,5,1918.14
20144,30,49,33072.37
20150,39,6,1264.88
20163,87,1,71.12
20167,67,1,336.35
20182,72,1,192
20186,72,1,99.9
20189,56,1,287.8
20198,37,7,4193.79
20216,30,17,6539.03
20219,70,1,65.52
20224,40,5,1111.96
20225,62,1,135.9
20234,41,3,127.53
20244,37,3,287.24
20252,87,1,84
20273,35,1,313.4
20278,58,1,1935.90
20284,39,3,141.35
20286,31,36,11622.60
20294,33,13,4227.03
20299,34,1,105.75
20304,33,14,79407.16
20305,38,3,2141.20
20324,35,6,1311.75
20334,30,42,88604.19
20340,38,4,8604.79
20347,82,1,88.9
20349,41,2,314.62
20362,41,1,45.03
20365,31,2,444.76
20374,34,2,12617.44
20388,37,1,5995.30
20392,34,5,6769.06
20405,34,1,805.09
20416,31,1,34.5
20425,55,1,189.9
20481,35,1,89.9
20537,31,10,1350.46
20546,38,7,2829.76
20582,56,3,25475.10
20591,88,1,520
20597,41,9,1854.77
20611,35,5,7855.65
20638,47,1,40.59
20654,75,1,16.5
20678,80,2,429.78
20683,35,5,8581.45
20685,70,1,152.49
20695,39,3,723.01
20696,60,3,5303.04
20712,68,1,986.85
20785,66,1,985.51
20786,31,3,489.07
20788,34,9,2400.43
20799,63,3,1145.63
20837,47,1,636
20850,31,6,6461.84
20851,35,5,1223.25
20861,54,1,337.8
20924,35,1,70.5
20944,54,4,2874.34
21016,58,1,126.9
21031,41,4,1288.48
21077,41,1,145.18
21092,37,3,256.45
21093,31,2,228.03
21100,32,15,54049.26
21131,55,1,396.4
21142,46,3,547.02
21188,62,1,75
21209,33,2,867.55
21212,35,1,125.4
21231,33,1,35.25
21233,82,1,40
21236,30,1,99.9
21238,40,2,770.38
21241,32,1,446.5
21243,32,1,1798.45
21244,32,4,414.53
21250,88,1,480
21258,41,1,550
21259,41,1,616
21260,56,3,1655.52
21261,41,1,317.44
21264,35,1,141.6
21271,41,3,4694.28
21282,37,4,1860.40
21288,41,1,2767.50
21295,41,2,4553.94
21296,38,12,6971.66
21302,80,1,46.35
21307,40,5,4817.76
21316,47,5,2812.91
21324,49,2,2335.07
21343,53,2,282.56
21349,41,3,1675.59
21364,41,1,915.78
21376,32,3,698.99
21405,32,2,2481.40
21436,47,6,1183.64
21449,34,2,835.8
21455,31,1,105.75
21516,36,6,782.41
21522,30,5,4899.53
21539,35,16,5358.86
21619,38,3,368.81
21647,67,2,445
21673,39,2,2216.80
21674,48,1,433.89
21734,70,1,525.88
21741,73,1,392.73
21771,38,1,313.4
21786,37,3,291.48
21790,72,1,66.9
21812,39,3,6542.37
21858,32,1,35.25
21862,37,1,235
21889,41,1,211.5
21893,33,2,2631.03
21896,33,1,107.34
21911,73,1,247.8
21915,46,1,53.57
21922,31,1,152.75
21927,31,1,31.5
21996,40,1,204.31
21999,40,4,1888.38
22002,31,1,444.72
22013,80,2,1025.49
22022,35,3,572.94
22050,35,1,237.01
22058,63,2,2056.90
22062,35,1,152.75
22090,82,1,77.15
22094,56,1,452.82
22098,34,9,1507.47
22100,77,1,380.65
22104,32,8,22810.63
22113,89,1,149.9
22140,48,2,180
22162,84,1,46.94
22185,45,6,1278.46
22202,40,1,97.56
22208,40,2,392.54
22216,49,1,602.07
22220,40,2,285.69
22222,36,2,544.9
22223,32,1,147.74
22232,30,1,289.9
22241,70,2,812.88
22262,49,4,218.1
22318,75,1,57.9
22356,55,5,20263.77
22378,75,1,471.22
22395,82,1,1181.94
22423,35,3,780.31
22429,63,1,520.18
22472,37,2,420.72
22474,38,2,327.55
22480,31,5,17479.42
22506,76,1,459.92
22512,37,1,1041.98
22532,52,2,332.26
22538,33,5,957.76
22567,40,1,263.14
22570,45,6,839.4
22581,47,1,144.9
22588,81,1,234.06
22618,34,2,1212.68
22647,87,2,104.66
22687,87,1,55
22691,40,1,60
22704,34,11,4718.13
22709,35,2,108.52
22711,35,1,483
22738,62,2,506.1
22747,32,4,2025.85
22752,34,5,1281.10
22767,38,1,142.06
22775,68,1,2790.20
22776,63,2,869.03
22826,80,1,182.2
22863,65,1,146.11
22879,48,1,166.9
22884,58,1,412.89
22907,49,1,969.9
22913,77,2,565.61
22930,35,4,1271.00
22949,31,1,179.95
22958,34,4,239.95
